iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
DE;Deutschland;DE;1031342848;Berlin;;Berlin;;Berlin;12487;Adlershof;52.427559;13.522499;28;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342849;Berlin;;Berlin;;Berlin;12489;Adlershof;52.439905;13.532273;33;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342853;Berlin;;Berlin;;Berlin;12524;Altglienicke;52.426278;13.515199;37;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342906;Berlin;;Berlin;;Berlin;13051;Alt-Hohenschönhausen;52.561918;13.493258;51;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342907;Berlin;;Berlin;;Berlin;13053;Alt-Hohenschönhausen;52.549938;13.493550;57;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342908;Berlin;;Berlin;;Berlin;13055;Alt-Hohenschönhausen;52.538085;13.480400;54;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342815;Berlin;;Berlin;;Berlin;12435;Alt-Treptow;52.489965;13.457668;50;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342835;Berlin;;Berlin;;Berlin;12437;Baumschulenweg;52.469563;13.472531;35;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342836;Berlin;;Berlin;;Berlin;12487;Baumschulenweg;52.452952;13.486898;39;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342891;Berlin;;Berlin;;Berlin;12683;Biesdorf;52.505205;13.550876;34;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
DE;Deutschland;DE;1031342947;Berlin;;Berlin;;Berlin;13051;Blankenburg;52.583833;13.469032;46;DE-BE;GM16;DE300;DE.BE;11000;Europe/Berlin;+01:00;+02:00
